"","cmplnt_num","cmplnt_fr_dt","cmplnt_fr_tm","addr_pct_cd","rpt_dt","ky_cd","ofns_desc","pd_cd","pd_desc","crm_atpt_cptd_cd","law_cat_cd","boro_nm","loc_of_occur_desc","prem_typ_desc","juris_desc","jurisdiction_code","housing_psa","x_coord_cd","y_coord_cd","susp_age_group","susp_race","susp_sex","latitude","longitude","lat_lon.latitude","lat_lon.longitude","patrol_boro","vic_age_group","vic_race","vic_sex","cmplnt_to_dt","cmplnt_to_tm","parks_nm","hadevelopt","transit_district","station_name"
"5707","860697108",2013-07-13,"13:00:00","104",2013-07-15,"351","CRIMINAL MISCHIEF & RELATED OF","254","MISCHIEF, CRIMINAL 4, OF MOTOR","COMPLETED","MISDEMEANOR","QUEENS","FRONT OF","STREET","N.Y. POLICE DEPT","0","NA","1011980","196063",NA,NA,NA,"40.704789175","-73.899987306","40.704789175","-73.899987306","PATROL BORO QUEENS NORTH","25-44","WHITE HISPANIC","F",2013-07-14,"19:00:00","NA",NA,NA,NA
"5708","138229129",2013-01-13,"02:12:00","43",2013-01-13,"347","INTOXICATED & IMPAIRED DRIVING","905","INTOXICATED DRIVING,ALCOHOL","COMPLETED","MISDEMEANOR","BRONX",NA,"STREET","N.Y. POLICE DEPT","0","NA","1023100","241171",NA,NA,NA,"40.82855696","-73.859620002","40.82855696","-73.859620002","PATROL BORO BRONX",NA,"UNKNOWN","E",2013-01-13,"02:17:00","NA",NA,NA,NA
"5709","786476109",2013-12-11,"18:45:00","26",2013-12-11,"341","PETIT LARCENY","338","LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","MANHATTAN","INSIDE","DEPARTMENT STORE","N.Y. POLICE DEPT","0","NA","993565","232363",NA,NA,NA,"40.804461994","-73.966354622","40.804461994","-73.966354622","PATROL BORO MAN NORTH",NA,"UNKNOWN","D",2013-12-11,"19:00:00","NA",NA,NA,NA
"5710","500639214",2012-07-21,"16:00:00","22",2012-07-21,"351","CRIMINAL MISCHIEF & RELATED OF","254","MISCHIEF, CRIMINAL 4, OF MOTOR","COMPLETED","MISDEMEANOR","MANHATTAN",NA,"PARK/PLAYGROUND","N.Y. POLICE DEPT","0","NA","994010","224718",NA,NA,NA,"40.783478055","-73.964758341","40.783478055","-73.964758341","PATROL BORO MAN NORTH","25-44","WHITE","F",2012-07-21,"18:50:00","NA",NA,NA,NA
"5711","919677873",2008-09-02,"00:01:00","114",2016-03-26,"116","SEX CRIMES","180","COURSE OF SEXUAL CONDUCT AGAIN","COMPLETED","FELONY","QUEENS","INSIDE","OTHER","N.Y. POLICE DEPT","0","NA","1007654","219564",NA,NA,NA,"40.769306087","-73.91550818","40.769306087","-73.91550818","PATROL BORO QUEENS NORTH","18-24","UNKNOWN","F",2010-08-31,"23:59:00",NA,NA,NA,NA
"5712","754067832",2017-09-03,"21:45:00","102",2017-09-03,"578","HARRASSMENT 2","638","HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","QUEENS","INSIDE","OTHER","N.Y. POLICE DEPT","0","NA","1028782","188879","25-44","WHITE HISPANIC","M","40.685002186","-73.839434923","40.685002186","-73.839434923","PATROL BORO QUEENS SOUTH","25-44","WHITE HISPANIC","M",2017-09-03,"21:50:00",NA,NA,NA,NA
"5713","747968200",2015-09-12,"15:30:00","6",2015-09-14,"109","GRAND LARCENY","401","LARCENY,GRAND BY ACQUIRING LOS","COMPLETED","FELONY","MANHATTAN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","NA","982714","207386",NA,NA,NA,"40.7359114","-74.005543945","40.7359114","-74.005543945","PATROL BORO MAN SOUTH","45-64","WHITE","F",2015-09-14,"08:30:00",NA,NA,NA,NA
"5714","629145643",2015-01-30,"00:01:00","115",2015-04-09,"233","SEX CRIMES","170","SEXUAL MISCONDUCT,INTERCOURSE","COMPLETED","MISDEMEANOR","QUEENS","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","NA","1018699","215043","18-24","UNKNOWN","M","40.756860977","-73.875656664","40.756860977","-73.875656664","PATROL BORO QUEENS NORTH","<18","UNKNOWN","F",2015-04-09,"12:00:00",NA,NA,NA,NA
"5715","652068792",2013-11-10,"04:00:00","71",2013-11-10,"121","CRIMINAL MISCHIEF & RELATED OF","269","MISCHIEF,CRIMINAL,    UNCL 2ND","COMPLETED","FELONY","BROOKLYN","FRONT OF","RESIDENCE-HOUSE","N.Y. POLICE DEPT","0","NA","1000938","180153",NA,NA,NA,"40.661147565","-73.939852009","40.661147565","-73.939852009","PATROL BORO BKLYN SOUTH","18-24","BLACK","M",2013-11-10,"04:00:00","NA",NA,NA,NA
"5716","546625091",2014-03-27,"18:00:00","28",2014-03-27,"341","PETIT LARCENY","333","LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","MANHATTAN","INSIDE","CHAIN STORE","N.Y. POLICE DEPT","0","NA","998954","233791",NA,NA,NA,"40.808374136","-73.946885823","40.808374136","-73.946885823","PATROL BORO MAN NORTH",NA,"UNKNOWN","D",2014-03-27,"18:38:00",NA,NA,NA,NA
